,state,h_level,2015,2016,2017,2018,2019,2021
0,ca,high,0.062380952380952384,0.05509933774834437,10.027954545454547,10.673181818181817,10.506813186813188,8.972448979591837
1,ca,low,0.018419452887537994,0.015116279069767442,5.925531914893617,6.069075144508671,6.338775510204081,5.641486068111456
2,ca,mid,0.043565621370499415,0.04407069555302166,8.912515337423313,8.793136094674557,9.506122448979593,8.771393643031784
3,il,high,,,6.193181818181818,5.566666666666666,8.208510638297872,4.125
4,il,low,,,2.4045703839122488,2.4443830570902394,4.8771375464684015,3.565719696969697
5,il,mid,,,2.632173913043478,2.5483050847457624,6.035537190082644,3.1015384615384614
6,nyc,high,,10.208333333333334,9.9375,9.195652173913043,8.857142857142858,5.452830188679245
7,nyc,low,,4.825355756791721,4.618985695708712,4.589473684210526,4.636363636363637,3.7103448275862068
8,nyc,mid,,9.166666666666666,9.302941176470588,9.048433048433049,9.525,6.216358839050132
9,tx,high,,,0.012658227848101266,0.01951219512195122,0.023809523809523808,0.11204819277108434
10,tx,low,,,0.0,0.0,0.0,0.08128654970760234
11,tx,mid,,,0.0,0.0,0.0,0.3385964912280702
